type,name,notice,furigana
燃やさないごみ,IHクッキングヒーター,,あ
燃やさないごみ,アイロン,,あ
燃やすごみ,アルミ箔,,あ
燃やすごみ,アルミ箔の芯（紙製等）,,あ
粗大ごみ,アコーディオンカーテン,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,あ
粗大ごみ,アイロン台,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,あ
粗大ごみ,編み機,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,あ
粗大ごみ,網戸,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,あ
びん,一升びん,酒屋さんなどへ返しましょう・キャップを外してひと洗い,い
家庭ごみ,衣類,品物の縦・横又は高さのいずれもが50cm未満のものです。,い
空き缶,飲料缶,アルミカン・スチールカンに分別してください。中身を洗って出してください。スアルミカン・スチールカンに分別してください。中身を洗って出してください。スチールカン以外の鉄製容器は、「その他不燃物」へ。,い
粗大ごみ,衣装箱,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,い
粗大ごみ,いす（ソファ）,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,い
びん,ウィスキーのびん,キャップを外してひと洗い・割れたものも回収します,う
資源,枝豆のネット,,え
スプレー缶・ガスボンベ,エアゾール式消火器,完全に中身を使い切ってください。残ったガスを抜く作業は、火気のない風通しの良い屋外で行ってください。,え
資源,王冠（金属製）,,お
資源,王冠（プラスチック製）,,お
家庭ごみ,おもちゃ,品物の縦・横又は高さのいずれもが50cm未満のものです。,お
粗大ごみ,オーディオラック,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,お
粗大ごみ,オルガン（電子オルガンを除く）,縦、横又は高さのいずれか1辺の長さが50cm以上のものです。記載のない品目には、収集できないものがあります。,お
